,id,original_title,popularity,release_date,title,vote_average,vote_count
1985,30497,The Texas Chain Saw Massacre,41.562,1974-10-01,The Texas Chain Saw Massacre,7.3,2403
1986,169881,The Physician,17.074,2013-12-25,The Physician,7.3,904
1987,114150,Pitch Perfect,35.051,2012-09-28,Pitch Perfect,7.3,5825
1988,13382,Rudolph the Red-Nosed Reindeer,15.794,1964-12-06,Rudolph the Red-Nosed Reindeer,7.3,413
1989,205587,The Judge,22.614,2014-10-08,The Judge,7.3,3438
1990,34653,A Single Man,12.318,2009-10-19,A Single Man,7.3,1296
1991,10654,Hair,10.011,1979-03-14,Hair,7.3,506
1992,8337,They Live,15.726,1988-11-23,They Live,7.3,2266
1993,13183,Watchmen,48.411,2009-03-04,Watchmen,7.3,7681
1994,11499,Frost/Nixon,7.162,2008-10-15,Frost/Nixon,7.3,946
1995,3131,Gangs of New York,19.603,2002-12-14,Gangs of New York,7.3,5517
1996,2977,Becoming Jane,12.361,2007-03-02,Becoming Jane,7.3,973
1997,508763,A Dog's Way Home,40.508,2019-01-10,A Dog's Way Home,7.3,901
1998,26842,The Message,12.838,1976-03-09,The Message,7.3,260
1999,350312,బాహుబలి 2: ది కన్ క్లూజన్,42.606,2017-04-27,Bāhubali 2: The Conclusion,7.3,531
2000,259761,Lights Out,4.104,2013-12-30,Lights Out,7.3,284
2001,121642,Venuto al mondo,7.81,2012-09-13,Twice Born,7.3,397
2002,14646,Un air de famille,4.556,1996-09-07,Family Resemblances,7.3,215
2003,13933,One Man Band,9.477,2005-06-21,One Man Band,7.3,450
2004,11368,Blood Simple,9.283,1984-09-07,Blood Simple,7.3,1044
2005,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",16.637,1995-09-07,"To Wong Foo, Thanks for Everything! Julie Newmar",7.3,501
2006,7862,Die Fälscher,8.274,2007-03-22,The Counterfeiters,7.3,457
2007,587792,Palm Springs,15.467,2020-07-10,Palm Springs,7.3,2195
2008,360365,Tini: El gran cambio de Violetta,21.567,2016-05-04,Tini: The New Life of Violetta,7.3,329
2009,13932,Jack-Jack Attack,8.559,2005-03-15,Jack-Jack Attack,7.3,748
2010,11663,The Commitments,8.154,1991-08-14,The Commitments,7.3,418
2011,323661,"Mune, le gardien de la lune",14.487,2015-02-05,Mune: Guardian of the Moon,7.3,458
2012,152780,Le passé,6.48,2013-05-17,The Past,7.3,415
2013,49051,The Hobbit: An Unexpected Journey,113.245,2012-11-26,The Hobbit: An Unexpected Journey,7.3,16030
